no,nama_wisata,jenis_wisata,lokasi,kecamatan,deskripsi,waktu_buka,harga_tiket,wahana,fasilitas,status_kepemilikan,pengelola,media_sosial,link_koordinat
43,Akar Seribu Plajan,WISATA ALAM,"Desa Plajan, Kecamatan Pakis Aji, Kabupaten Jepara",Pakis Aji,"Akar Seribu adalah destinasi wisata alam di Jepara yang memanfaatkan keindahan formasi akar-akar pohon besar di area hutan rakyat. Tempat ini menawarkan suasana hutan yang eksotis dan sejuk di lereng perbukitan, menjadikannya tempat ideal untuk berpetualang ringan dan berswafoto.

Lokasi dan Asal Nama
Lokasi: Terletak di Desa Plajan, Kecamatan Pakis Aji, Kabupaten Jepara, Jawa Tengah. Desa Plajan sendiri dikenal sebagai desa wisata dengan banyak potensi alam dan budaya.

Asal Nama: Dinamakan ""Akar Seribu"" karena daya tarik utamanya adalah beberapa pohon besar (seperti pohon karet dan beringin) yang memiliki akar panjang dan banyak yang menjuntai ke tanah atau tersebar luas, menciptakan pemandangan yang unik dan dramatis.

Daya Tarik Utama
Eksotisme Hutan: Pengunjung disuguhi pemandangan pepohonan yang rimbun dan akar-akar pohon yang menjuntai, memberikan kesan seperti berada di hutan petualangan yang sejuk dan asri.

Spot Foto: Sebagai destinasi wisata kekinian, Akar Seribu dilengkapi dengan berbagai spot foto instagramable, antara lain:

Jembatan Pelangi

Gardu Pandang, tempat pengunjung dapat menikmati pemandangan alam dari ketinggian (memerlukan sedikit trekking menanjak).

Area di sekitar Tebing Kepodang dan Gowok Macan (liang batu).

Fasilitas Wisata: Selain keindahan alam, tempat ini juga menyediakan fasilitas seperti gazebo untuk beristirahat, taman bermain anak, kebun binatang mini (Mini Zoo), dan area perkemahan (camping).

Informasi Tambahan
Jam Buka: Umumnya buka setiap hari dari pukul 07.00 hingga 17.00 WIB.

Kondisi Terkini (Penting): Berdasarkan laporan terbaru, perlu diketahui bahwa kondisi wisata Akar Seribu ini tidak selalu beroperasi dan pernah dilaporkan tidak terawat atau tutup dalam beberapa tahun terakhir. Jika Anda berencana berkunjung, disarankan untuk mencari informasi terbaru atau menghubungi pengelola lokal untuk memastikan tempat tersebut sedang dibuka dan terawat.

Wisata Terdekat: Desa Plajan memiliki beberapa destinasi wisata lain yang berdekatan, seperti Gua Sakti dan Gong Perdamaian Dunia, yang sering dikunjungi secara berurutan.

Akar Seribu menawarkan pengalaman menjelajahi hutan yang teduh dan sejuk dengan formasi akar pohon yang unik, menjadikannya alternatif wisata alam yang menarik di Jepara selain pantai dan air terjun.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDES,,,https://maps.app.goo.gl/dwWC1D18X3r4jZEd8
44,Gua Sakti,WISATA ALAM,"Desa Plajan, Kecamatan Pakis Aji, Kabupaten Jepara",Pakis Aji,"Gua Sakti adalah destinasi wisata alam dan religi yang berada di kawasan perbukitan Desa Plajan, Jepara. Tempat ini menawarkan suasana yang asri, sejuk, dan kental dengan cerita mistis serta sejarah lokal.

Lokasi dan Julukan
Lokasi: Terletak di Desa Plajan, Kecamatan Pakis Aji, Kabupaten Jepara, Jawa Tengah. Lokasinya berada di area perbukitan dan berdekatan dengan tempat wisata lain, seperti Akar Seribu dan Gong Perdamaian Dunia.

Julukan Lain: Gua ini dulunya dikenal dengan nama Guo Lowo (Gua Kelelawar) karena sempat menjadi tempat bersarangnya kelelawar dalam jangka waktu yang lama.

Sejarah dan Daya Tarik Spiritual
Petilasan Mbah Langkir: Menurut cerita rakyat setempat, gua ini dipercaya merupakan tempat bertapa atau melakukan tirakat seorang tokoh yang dikenal sebagai Mbah Langkir.

Asal Nama ""Sakti"": Nama ""Sakti"" konon muncul karena seniman lokal bernama Mbah Kartawi sering menggunakan gua ini untuk menyemadikan (meningkatkan energi mistis) barongan Reog sebelum pentas. Hal ini diyakini membuat pertunjukannya tersohor dan membius penonton.

Daya Tarik:

Keasrian Alam: Gua ini dikelilingi oleh pepohonan rindang dan akar-akar pohon besar yang menjuntai, membuat suasananya sangat adem dan asri.

Wisata Religi: Sering dijadikan tujuan untuk berziarah atau melakukan ritual (tirakat) oleh sebagian masyarakat.

Penelusuran Gua: Pengunjung dapat memasuki dan menelusuri gua yang umumnya tidak terlalu dalam, namun disarankan tetap berhati-hati.

Fasilitas Tambahan
Kawasan Gua Sakti juga dikembangkan dengan beberapa wahana wisata lain di sekitarnya, seperti:

Taman Jamur

Wahana Air Kedung Winong

Gazebo untuk bersantai.

Gua Sakti menawarkan kombinasi unik antara wisata alam, sejarah lokal, dan nuansa spiritual yang kental, menjadikannya salah satu destinasi yang menarik bagi para pencinta petualangan di Jepara.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDES,,,https://maps.app.goo.gl/iePJZwRtoQNPtdx27
45,Gong Perdamaian Dunia (World Peace Gong),WISATA ALAM,"Desa Plajan, Kecamatan Pakis Aji, Kabupaten Jepara",Pakis Aji,"Gong Perdamaian Dunia adalah sebuah monumen dan simbol persaudaraan global yang terletak di Desa Plajan, Jepara. Keberadaannya menjadikan Desa Plajan dikenal sebagai Desa Perdamaian.

Lokasi dan Simbolisme
Lokasi: Berada di Desa Plajan, Kecamatan Pakis Aji, Kabupaten Jepara, Jawa Tengah.

Makna: Gong ini adalah simbol persaudaraan dan pemersatu umat manusia sedunia, melambangkan kerukunan antar umat beragama.

Pembuat/Tokoh: Gong ini erat kaitannya dengan Djuyoto Suntani, seorang tokoh yang dikenal sebagai Presiden Perdamaian Dunia dan merupakan ahli waris keturunan ketujuh dari pemilik gong keramat di Plajan. Beliau adalah tokoh yang menggagas penempatan Gong Perdamaian di berbagai negara.

Koleksi dan Detail Gong
Di lokasi ini, Anda dapat melihat beberapa gong yang memiliki makna dan tujuan yang berbeda, yaitu:

Gong Perdamaian Dunia (World Peace Gong):

Gong ini berukuran besar (sekitar dua meter) dan memiliki detail yang kaya simbolisme.

Bagian tengahnya bergambar peta dunia.

Di sekelilingnya terdapat lambang sembilan agama besar dunia (Islam, Hindu, Buddha, Kristen, Yahudi, Konghucu, Tao, Sikh, dan Shinto), yang melambangkan persatuan agama.

Gong ini juga dikelilingi oleh 202 bendera negara-negara di dunia, menjadikannya identitas universal perdamaian.

Gong Perdamaian Nusantara:

Memiliki pesan perdamaian bagi seluruh pemeluk agama di Indonesia.

Gong Perdamaian Asia-Afrika (Asian African Peace Gong):

Gong yang menggambarkan bendera-bendera negara peserta Konferensi Asia-Afrika 1955.

Nilai Sejarah dan Religi
Peninggalan Kerajaan Demak: Gong keramat yang menjadi cikal bakal Gong Perdamaian Dunia ini dipercaya telah berumur lebih dari 450 tahun dan berasal dari peninggalan Kerajaan Demak. Konon, pada masa itu digunakan oleh salah seorang Wali Songo sebagai sarana penyebaran agama Islam.

The Earth Center & Kumpulan Tanah Sedunia: Di lokasi museum juga terdapat koleksi unik berupa Tanah-Tanah Sedunia yang disimpan dalam stoples kecil, masing-masing dengan bendera negara asal tanah tersebut, melambangkan persatuan dunia.

Gong Perdamaian Dunia di Plajan adalah salah satu objek wisata unik di Jepara yang menawarkan perpaduan antara sejarah, budaya, dan pesan perdamaian yang mendunia.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDES,,,https://maps.app.goo.gl/C99nBq2hHLXgmBy89
46,Taman Loka Jaya Desa Tengguli,"WISATA ALAM, WISATA BUATAN","Tengguli, Kec. Bangsri, Kabupaten Jepara",Bangsri,"Taman Loka Jaya adalah destinasi wisata alam yang terletak di Desa Tengguli, Jepara. Tempat ini menawarkan suasana pedesaan yang tenang dan asri, menjadikannya pilihan yang cocok untuk bersantai dan refreshing.

Detail Tempat
Nama: Taman Loka Jaya Desa Tengguli

Alamat: Tengguli, Kec. Bangsri, Kabupaten Jepara, Jawa Tengah 59453

Rating: 4.2 dari 5

Jam Operasional: Buka 24 jam setiap hari (disarankan berkunjung pagi atau sore hari).

Daya Tarik dan Ulasan Pengunjung
Pemandangan Alam dan Relaksasi: Taman ini menawarkan pemandangan yang didominasi oleh area sawah dan kebun di perbukitan. Udaranya yang sejuk (terutama pagi dan sore) dan pemandangan yang hijau membuatnya menjadi tempat yang pas untuk menenangkan pikiran.

Spot Nongkrong dan Foto: Taman Loka Jaya dilengkapi dengan beberapa fasilitas, termasuk gazebo-gazebo untuk bersantai. Ada juga Gardu Pandang yang menjadi salah satu spot favorit untuk melihat pemandangan dari ketinggian.

Fasilitas Penunjang: Di sekitar pintu masuk atau area depan taman, tersedia banyak warung yang menjual makanan dan minuman, memudahkan pengunjung yang ingin jajan.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDES,,,https://maps.app.goo.gl/5FbXhEndfy14RQTs7
47,Sendang Kali Ngetuk,"WISATA ALAM, WISATA BUATAN","RW 6, Desa Banjaragung, Kecamatan Bangsri, Kabupaten Jepara, Jawa Tengah.",Bangsri,"Sendang Kali Ngetuk adalah destinasi wisata air yang memanfaatkan sumber mata air alami (sendang) dan sungai (kali), kemudian dikembangkan menjadi area pemandian yang menyerupai kolam renang modern. Tempat ini terkenal karena kejernihan dan kesegaran airnya.

Informasi Umum dan Lokasi
Lokasi: Terletak di RW 6, Desa Banjaragung, Kecamatan Bangsri, Kabupaten Jepara, Jawa Tengah.

Akses: Kawasan ini berada di area sawah yang asri, namun lokasinya mudah dijangkau.

Jam Operasional: Buka setiap hari, umumnya dari pagi hingga jam 17.00 WIB.

Tiket Masuk: Sangat terjangkau, dilaporkan sekitar Rp 3.000 per orang (harga dapat berubah, disarankan untuk mengonfirmasi saat kunjungan).

Daya Tarik Utama
Air Sumber Alami: Daya tarik utama Sendang Kali Ngetuk adalah airnya yang sangat jernih, alami, dan segar karena bersumber dari tiga mata air asli (sendang) tanpa campuran kaporit. Sensasi berenang di air sumber alami ini sangat dingin dan menyegarkan.

Konsep Kolam Renang: Meskipun merupakan aliran sungai dan sendang alami, area pemandian ini telah ditata sedemikian rupa dengan dinding dan lantai yang dicat biru laut, memberikan efek visual air yang sangat biru dan menyerupai kolam renang pada umumnya.

Zona Pemandian: Terdapat dua area kolam pemandian yang disediakan:

Satu kolam untuk anak-anak dengan kedalaman dangkal (sekitar 50 cm).

Satu kolam untuk umum/dewasa dengan kedalaman sekitar 110 cm.

Lingkungan Asri: Lokasinya yang berada di area persawahan Desa Banjaragung menjadikan tempat ini sejuk dan cocok untuk refreshing murah meriah.

Pengembangan Desa Wisata: Tempat ini mulai dikelola oleh pemerintah desa sejak tahun 2020 dan mulai ramai dikunjungi pada tahun 2024/2025 awal setelah dilakukan pembangunan dan penataan area. Pemerintah Kabupaten Jepara juga telah menyatakan dukungan untuk pengembangannya.","Setiap Hari, Pukul 07.00 – 17.00",HTM : Rp 3000/orang,,,PEMDES,,,https://maps.app.goo.gl/WeH2Lj7J8wZsXszS9
48,Air Terjun Songgo Langit,WISATA ALAM,"Dukuh Nglencer, Desa Bucu, Kecamatan Kembang, Kabupaten Jepara, Jawa Tengah",Kembang,"Air Terjun Songgo Langit adalah salah satu destinasi wisata alam yang paling memukau dan populer di Kabupaten Jepara, Jawa Tengah. Terletak di lereng Gunung Muria, air terjun ini menawarkan panorama alam yang megah dan suasana yang sejuk dan asri.

Daya Tarik Utama
Air Terjun yang Megah: Ketinggiannya yang mencapai 80 meter menciptakan pemandangan yang dramatis, seolah-olah tebingnya benar-benar menopang langit, sesuai dengan namanya.

Kolam Alami: Di bawah air terjun terdapat kolam penampungan alami. Namun, PENTING untuk diperhatikan bahwa kolam utama di bawah curahan air memiliki kedalaman hingga 8 meter dan pusaran air yang kuat. Pengunjung dilarang keras untuk berenang di kolam utama ini. Pengunjung dapat bermain air di aliran sungai yang lebih dangkal di bagian bawah area air terjun.

Suasana Alam Asri: Terletak di kaki Gunung Muria, kawasan ini dikelilingi oleh pepohonan rindang dan hutan yang lebat, menjadikannya tempat yang sempurna untuk bersantai dan melepaskan penat.

Habitat Kupu-kupu: Di sekitar air terjun sering dijumpai beragam spesies kupu-kupu berwarna-warni yang menambah keindahan panorama alam.

Trekking Mudah: Akses dari area parkir ke lokasi air terjun utama relatif mudah, sehingga tidak memerlukan trekking yang berat.

Legenda Lokal: Air terjun ini juga diselimuti cerita legenda tentang sepasang suami istri yang mengalami kecelakaan pedati di lokasi tersebut pada malam hari.

Fasilitas dan Harga Tiket Masuk
Harga Tiket Masuk (HTM):

Sangat Terjangkau. Harga tiket masuk berkisar antara Rp 5.000 hingga Rp 10.000 per orang (harga dapat berubah sewaktu-waktu).

Parkir: Dikenakan biaya tambahan, sekitar Rp 3.000 untuk sepeda motor dan Rp 5.000 untuk mobil.

Fasilitas yang Tersedia:

Area parkir yang luas.

Toilet dan kamar ganti.

Warung makan dan penjual minuman.

Gazebo dan tempat beristirahat.

Mushola.

Area camping.

Beberapa spot foto.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDES,,,https://maps.app.goo.gl/BgQtK9KQDoSRJKKQ7
49,Bukit Bejagan Duplak Tempur,WISATA ALAM,"Dukuh Duplak, Desa Tempur, Kecamatan Keling, Kabupaten Jepara",Keling,"Bukit Bejagan adalah salah satu destinasi wisata alam yang terletak di Dukuh Duplak, Desa Tempur, Kecamatan Keling, Kabupaten Jepara, Jawa Tengah. Tempat ini dikenal sebagai surga tersembunyi di lereng Gunung Muria yang menawarkan pemandangan alam perbukitan yang menakjubkan.

Berikut adalah ringkasan informasi lengkap mengenai Bukit Bejagan Duplak Tempur:

1. Lokasi dan Daya Tarik Utama
Lokasi: Dukuh Duplak, Desa Tempur, Kecamatan Keling, Jepara. Desa Tempur sendiri dikenal sebagai ""Desa Tersembunyi"" karena dikelilingi oleh pegunungan.

Keindahan Alam: Tempat ini menyajikan panorama yang sangat memukau, berupa:

Hamparan perbukitan hijau dan pepohonan rimbun yang menyegarkan mata.

Lanskap persawahan terasering yang membentang luas.

Pada hari yang cerah, Anda bahkan dapat melihat pemandangan Laut Jawa dari kejauhan di puncak bukit.

Spot Foto Ikonik: Bukit Bejagan dikelola secara kreatif oleh pemuda setempat dan dilengkapi dengan berbagai spot swafoto yang populer, seperti Rumah Pohon, Jembatan Cinta, dan dek-dek pandang yang menjorok ke lembah.

Aktivitas: Selain menikmati pemandangan dan berfoto, Bukit Bejagan juga merupakan lokasi ideal untuk berkemah (camping) sambil menikmati suasana malam dan udara pegunungan yang sejuk.

Akses dan Rute Perjalanan
Rute menuju Desa Tempur dari pusat Kota Jepara memakan waktu sekitar 1,5 hingga 2 jam perjalanan.

Rute Umum: Dari Kota Jepara, ambil jalur menuju Kecamatan Keling, kemudian ikuti petunjuk menuju Desa Tempur. Anda akan melewati pertigaan di Desa Jlegong yang terdapat gapura Desa Wisata Tempur.

Saran Kendaraan: Sangat disarankan untuk menggunakan sepeda motor atau kendaraan roda dua. Hal ini dikarenakan jalur menuju Dukuh Duplak, khususnya yang mendekati Bukit Bejagan, didominasi oleh jalanan yang menanjak curam, berkelok-kelok, dan masih berupa kombinasi jalan cor semen dan jalan berbatu/tanah.",pukul 09.00 - 17.00 WIB,"Harga Tiket Masuk        Sekitar Rp 5.000 per orang
Tarif Parkir        Sekitar Rp 5.000 per kendaraan (motor)",,,PEMDES,,,https://maps.app.goo.gl/jygenscmmHLn7wdH8
50,Candi Angin,"WISATA ALAM, WISATA SEJARAH, WISATA EDUKASI","Desa Tempur, Kecamatan Keling, Kabupaten Jepara",Keling,"Candi Angin adalah salah satu situs purbakala yang berlokasi di Desa Tempur, Kecamatan Keling, Kabupaten Jepara. Situs ini memiliki beberapa fakta dan daya tarik unik:

Situs Tertua: Candi Angin, bersama dengan Candi Bubrah, seringkali diduga sebagai candi tertua di Nusantara. Beberapa penelitian memperkirakan candi ini dibangun bahkan sebelum Candi Borobudur didirikan, kemungkinan besar merupakan peninggalan dari Kerajaan Kalingga (sekitar abad ke-1 Masehi).

Keunikan Nama: Nama ""Candi Angin"" konon berasal dari kepercayaan para ahli spiritual yang merasakan adanya pusaran angin di salah satu lubang candi saat berada di lokasi tersebut.

Lokasi dan Akses: Candi ini terletak di kawasan perbukitan Gunung Muria, tepatnya di ketinggian sekitar 1.200 meter di atas permukaan laut (mdpl). Untuk mencapainya, pengunjung perlu mendaki. Candi Angin berada sekitar 500 meter di atas Candi Bubrah, yang sering dianggap sebagai ""pintu gerbang"" menuju Candi Angin.

Arsitektur Primitif: Candi ini terbuat dari batuan andesit dan memiliki keunikan karena tidak ditemukan ornamen-ornamen Hindu-Buddha yang lazim pada candi-candi lain di Jawa. Hal ini memunculkan spekulasi bahwa candi ini mungkin merupakan peninggalan manusia purba atau memiliki fungsi ritual yang berbeda.

Mitos Lokal: Menurut legenda setempat, Candi Angin dan Candi Bubrah diciptakan oleh Resi Wigotoyoso secara ajaib, di mana batu-batu yang digunakan konon datang dan tersusun sendiri menjadi candi.

Candi Angin adalah salah satu destinasi wisata sejarah dan petualangan yang wajib dikunjungi jika Anda berada di Desa Wisata Tempur.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDA / DINAS,,,https://maps.app.goo.gl/JjY5RfUvR7YWsS4j8
51,Candi Bubrah,"WISATA ALAM, WISATA SEJARAH, WISATA EDUKASI","Desa Tempur, Kecamatan Keling, Kabupaten Jepara",Keling,"Candi Bubrah adalah situs purbakala yang terletak di Desa Tempur, Kecamatan Keling, Kabupaten Jepara, dan berdekatan dengan Candi Angin.

Nama ""Bubrah"" dalam bahasa Jawa memiliki arti rusak atau hancur, yang memang menggambarkan kondisi candi saat pertama kali ditemukan—hanya berupa tumpukan reruntuhan batu.

Berikut adalah beberapa hal penting mengenai Candi Bubrah:

Daya Tarik dan Nilai Sejarah
1. Dugaan Usia Tertua di Nusantara
Seperti Candi Angin, Candi Bubrah juga diyakini sebagai salah satu candi tertua di Indonesia. Para arkeolog menduga usianya lebih tua dari Candi Borobudur dan kemungkinan besar berasal dari era Kerajaan Kalingga (sekitar abad ke-1 hingga abad ke-7 Masehi).

2. Peninggalan Kerajaan Kalingga
Berdasarkan analisis bentuk batu dan minimnya ornamen keagamaan Hindu-Buddha, Candi Bubrah disinyalir merupakan peninggalan dari masa awal peradaban di Jawa, yang dihubungkan dengan masa kepemimpinan Ratu Sima dari Kerajaan Kalingga.

3. Gerbang Menuju Candi Angin
Secara geografis, Candi Bubrah terletak di jalur pendakian Gunung Muria dan berada sekitar 500 meter di bawah Candi Angin. Oleh karena itu, candi ini sering dianggap sebagai situs pertama yang harus dilalui atau ""pintu gerbang"" sebelum mencapai Candi Angin yang berada di posisi lebih tinggi.

Lokasi dan Akses
Lokasi: Candi Bubrah berada di kawasan perbukitan Desa Tempur.

Akses: Untuk mencapai lokasi ini, pengunjung harus melakukan trekking atau mendaki, mengingat lokasinya yang cukup jauh dari pemukiman dan berada di ketinggian lereng Gunung Muria.

Situs Candi Bubrah menjadi destinasi menarik bagi para wisatawan yang menyukai wisata sejarah, arkeologi, dan petualangan di tengah suasana alam pegunungan yang asri.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDA / DINAS,,,https://maps.app.goo.gl/onBPauWxq21oiiXT7
52,Pantai Cemara Kasih,WISATA ALAM,"Desa Jeruk Rejo, Bandungharjo, Kecamatan Donorojo, Kabupaten Jepara, Jawa Tengah.",Donorojo,"Pantai Cemara Kasih adalah salah satu destinasi wisata pantai yang terletak di Kabupaten Jepara, Jawa Tengah. Berdasarkan namanya, pantai ini terkenal dengan suasana rindang dari pepohonan cemara di sepanjang bibir pantai.

Berikut adalah informasi mengenai Pantai Cemara Kasih:

Lokasi dan Akses
Alamat: Desa Jeruk Rejo, Bandungharjo, Kecamatan Donorojo, Kabupaten Jepara, Jawa Tengah.

Jarak: Lokasinya cukup jauh dari pusat kota Jepara atau area Candi Angin/Bubrah, sekitar 31 kilometer ke arah timur laut.

Daya Tarik
Suasana Pantai: Pantai ini menyajikan pemandangan alam yang tenang dengan hamparan pasir yang bersih.

Hutan Cemara: Daya tarik utamanya adalah area pantai yang dipenuhi pohon cemara, memberikan suasana sejuk dan teduh, menjadikannya tempat yang ideal untuk bersantai dan piknik bersama keluarga.

Aktivitas: Anda bisa menikmati berenang di pantai (airnya cukup tenang), berfoto di bawah rindangnya pohon cemara, atau sekadar menikmati pemandangan laut yang indah. Beberapa ulasan menyebutkan pantai ini ramah anak.

Fasilitas: Tempat ini umumnya terbuka 24 jam dan memiliki fasilitas sederhana. Salah satu ulasan menyebutkan ada biaya tiket kebersihan yang terjangkau.","Setiap Hari, Pukul 07.00 – 17.00",,,,PEMDES,,,https://maps.app.goo.gl/U9zQt7G3nwgk2qon6
53,Sendang Kamulyan,WISATA ALAM,"Desa Gemulung, Kecamatan Pecangaan, Kabupaten Jepara.",Pecangaan,"Sendang Kamulyan adalah salah satu destinasi wisata alam dan sejarah yang terletak di Desa Gemulung, Kecamatan Pecangaan, Kabupaten Jepara.

Tempat ini dikenal karena keindahan alamnya yang asri, serta nilai sejarah dan mitos yang melekat di mata masyarakat.

Daya Tarik dan Sejarah
Mata Air Abadi (Sendang): ""Sendang"" berarti mata air atau kolam alami, dan ""Kamulyan"" berarti kemuliaan atau kemakmuran. Daya tarik utama tempat ini adalah mata air yang konon tidak pernah kering meskipun saat musim kemarau. Air dari sendang ini sangat segar karena langsung berasal dari sumber mata air di dalam tanah.

Petilasan Ratu Kalinyamat: Berdasarkan cerita rakyat setempat, Sendang Kamulyan dulunya merupakan tempat petilasan atau tempat yang pernah disinggahi oleh Ratu Kalinyamat, tokoh penting dalam sejarah Jepara. Konon, Ratu Kalinyamat dan para prajuritnya menggunakan air sendang ini untuk membasuh diri sebelum atau sesudah berperang.

Kawasan Hutan Asri: Lokasi Sendang Kamulyan dikelilingi oleh hutan yang rindang dengan banyak pohon besar yang telah berusia ratusan tahun. Suasana yang sejuk, asri, dan tenang menjadikannya tempat yang nyaman untuk bersantai dan menikmati alam.

Mitos Kepercayaan: Masyarakat dari berbagai daerah percaya bahwa air dari Sendang Kamulyan dapat memberikan sugesti atau kemuliaan (sesuai namanya) kepada siapa pun yang membasuh wajah atau mandi dengan airnya, tergantung pada niat baik yang mereka miliki.

Fasilitas dan Pengembangan
Awalnya dikenal juga sebagai Waduk Punden, kini Sendang Kamulyan telah dikembangkan oleh Pemerintah Desa Gemulung menjadi objek wisata resmi. Beberapa pembenahan yang telah dilakukan antara lain:

Perbaikan akses jalan dan lahan parkir.

Pembangunan gazebo untuk tempat bersantai.

Pembuatan spot-spot foto yang instagramable dan tempat berkemah (camping ground).

Rencana pengembangan wahana permainan seperti perahu bebek dan flying fox untuk menambah daya tarik rekreasi keluarga.","Setiap Hari, Pukul 08.00 – 17.00",,,,PEMDES,,,https://maps.app.goo.gl/mYwbSx9bcrVpuEN38
54,Taman Buah Takamas,"WISATA ALAM, WISATA BUATAN, WISATA EDUKASI","Rw. III, Kedungcino, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59432.",Jepara,"Taman Buah Takamas adalah destinasi wisata agro dan edukasi yang berlokasi di Jepara, Jawa Tengah. Tempat ini menawarkan pengalaman berwisata di tengah kebun buah yang ditata sebagai taman rekreasi.

Daya Tarik
Wisata Agro: Pengunjung dapat melihat berbagai jenis pohon buah-buahan. Meskipun bergantung pada musim, Anda berpotensi untuk memetik buah secara langsung (seperti belimbing, jambu air, dan markisa) jika sedang musim panen.

Wahana Air: Terdapat fasilitas kolam renang yang menjadi daya tarik utama bagi anak-anak.

Rekreasi Keluarga: Dengan suasana kebun yang luas, tempat ini cocok untuk piknik dan acara keluarga, meskipun beberapa ulasan menyebutkan fasilitas gazebo dan perawatan taman masih perlu ditingkatkan.

Edukasi: Tempat ini juga berfungsi sebagai sarana edukasi mengenai tanaman buah-buahan.","Jam Buka:

Senin - Kamis & Minggu: 08.00–16.00 WIB

Jumat - Sabtu: 09.00–17.00 WIB",,,,SWASTA,,,https://maps.app.goo.gl/DXgsvSNrjzxC3fy2A
55,Wisata Alam Watu Lawang Jepara,WISATA ALAM,"Rw. 01, Tanjung, Kec. Pakis Aji, Kabupaten Jepara,",Pakis Aji,"Wisata Alam Watu Lawang Jepara adalah destinasi wisata alam yang menawarkan keindahan panorama perbukitan yang hijau dan suasana sejuk, terletak di lereng Gunung Muria.

Daya Tarik Utama
Formasi Batu ""Lawang"" (Pintu): Sesuai namanya, ""Watu Lawang"" (Batu Pintu) merujuk pada formasi batu-batuan besar dengan berbagai ukuran yang menjadi pemandangan unik di area ini. Beberapa batu tersebut membentuk seperti sebuah gerbang atau pintu.

Panorama Alam: Terletak di dataran tinggi, tempat ini menyajikan pemandangan alam perbukitan, hamparan sawah hijau, dan sungai yang jernih. Udaranya segar dan sejuk, sangat cocok untuk bersantai.

Aktivitas:

Fotografi: Terdapat banyak spot foto selfie yang memanfaatkan latar belakang alam, termasuk pemandangan batu-batu unik.

Camping: Area di sekitar Watu Lawang juga sering digunakan untuk kegiatan berkemah (camping ground).

Fasilitas: Tempat ini menyediakan fasilitas dasar seperti gazebo untuk beristirahat, warung-warung makan sederhana, musala, dan tempat parkir yang cukup luas.","Setiap hari (Senin - Minggu), pukul 09.00–17.00 WIB",,,,PEMDES,,,https://maps.app.goo.gl/nxxbUkCu76gdvSvc9
56,Welahan Bum (Bongpes),"WISATA ALAM, WISATA BUATAN","Ds. Gerdu, Pecangaan, Kabupaten Jepara, Jawa Tengah.",Jepara,"Welahan Bum (Bongpes) adalah area rekreasi terbuka yang terletak di sekitar bendungan (dam) di perbatasan Kecamatan Welahan dan Pecangaan di Kabupaten Jepara, Jawa Tengah. Tempat ini dikenal karena menawarkan pemandangan alam yang asri dan suasana yang santai, terutama menjelang sore hari. Nama ""Bongpes"" sendiri merupakan sebutan akrab dari masyarakat setempat.

Daya Tarik dan Suasana
Spot Matahari Terbenam (Senja): Bongpes menjadi tempat favorit warga lokal untuk menikmati pemandangan matahari terbenam (senja) dengan latar belakang aliran air bendungan dan pepohonan rindang.

Pemandangan Aliran Sungai/Bendungan: Area ini menyediakan pemandangan air yang tenang dan jembatan baru yang sering menjadi spot foto yang menarik (instagrammable). Kadang-kadang, pengunjung dapat melihat kerbau-kerbau lokal dimandikan di sekitar bendungan, menambah kesan pedesaan yang alami.

Tempat Bersantai: Dengan suasana yang sejuk dan bersih, tempat ini sangat cocok untuk bersantai, melepas penat, atau sekadar nongkrong bersama keluarga dan teman.

Kuliner Lokal: Terdapat warung-warung sederhana di sekitar area Bongpes. Salah satu menu kuliner yang populer dan sering disebut dalam ulasan adalah Pecel, yang menawarkan rasa enak dengan harga terjangkau.","Setiap hari, pukul 06.00–17.49 WIB.",,,,PEMDES,,,https://maps.app.goo.gl/p1gH2UwSZFGekXvB9
57,Museum RA. Kartini,"WISATA KERAJINAN, WISATA BUDAYA, WISATA EDUKASI, WISATA BUATAN",Sebelah Utara Alun - Alun 1 Jepara,Jepara,"Museum RA Kartini termasuk jenis museum umum dan sekaligus sebagai Obyek Wisata sejarah. Tujuan didirikan museum ini adalah untuk mengabadikan jasa-jasa perjuangan RA Kartini dengan cara mendokumentasikan, memamerkan, dan memvisualkan benda - benda bersejarah peninggalan milik kakak kandungnya serta benda warisan budaya lainnya yang banyak ditemukan di daerah Kabupaten","Setiap Hari, Pukul 07.00 – 15.00","1. Hari Biasa, Akhir Pekan & Libur National :
    - Dewasa : Rp 8.000
    - Anak - anak : Rp 5.000

2. Pekan Syawalan / Pesta Lomban / Pekan Natal dan Tahun Baru / Event Lainnya :
    - Dewasa : Rp 15.000
    - Anak - anak : Rp 10.000",-,"1. Area Parkir
2. Paseban
3. Tempat Ibadah
4. Spot Photo
5. Lighting Modern
6. Aula
7. Sound System
8. Pemandu Wisata Museum RA. Kartini
9. Souvenir Kerajinan Jepara",PEMDA / DINAS,Lia Supardianik (Plt. Manajer),,https://maps.app.goo.gl/Pq63tVYfkZbK7FdS6
